Nome;Alg-Class;Alg-Class-Params;Tec-Desbal;Tec-Desbal-Params;Acuracia;Acuracia Balanceada;F1-Score;Macro F1-Score;AUC
CLF_82;AD;{'min_samples_leaf': 19, 'random_state': 42};undersampling;-;0.8360487582377152;0.814231109426333;0.2444104404691739;0.5760709375171202;0.8845492335478292
CLF_83;AD;{'min_samples_leaf': 19, 'random_state': 42};oversampling;-;0.8991104450894287;0.7369652744273669;0.2942776323009825;0.6196551893416458;0.7395590485111645
CLF_84;AD;{'min_samples_leaf': 19, 'random_state': 42};smote;5;0.8988174051116328;0.7434049555448341;0.2947755150840496;0.6198664090597885;0.8364712524305707
CLF_85;AD;{'min_samples_leaf': 19, 'random_state': 42};smote;10;0.8955931047392008;0.7329513864957382;0.2795421411295526;0.6112701944156492;0.8305384249483602
CLF_86;AD;{'min_samples_leaf': 19, 'random_state': 42};smote;15;0.9027774251640013;0.7476481264502493;0.29317491826126774;0.6203268176118206;0.8433849183474417
CLF_87;AD;{'min_samples_leaf': 19, 'random_state': 42};adasyn;5;0.8955924592766946;0.7461324580145657;0.2939644442780476;0.618477420201351;0.8411344447646915
CLF_88;AD;{'min_samples_leaf': 19, 'random_state': 42};adasyn;10;0.8972049321941638;0.7381780848668642;0.2768871467363233;0.6105436629379242;0.8466630260319091
CLF_89;AD;{'min_samples_leaf': 19, 'random_state': 42};adasyn;15;0.8904607096214793;0.745678142302479;0.28073037713947047;0.6103840434265327;0.8424893443881226
CLF_9;AD;{'min_samples_leaf': 3, 'random_state': 42};-;-;0.9442762536495526;0.6328779837801825;0.2773286925132771;0.6241098343682316;0.6741667489040241
CLF_90;KNN;{'n_jobs': -1, 'n_neighbors': 1};-;-;0.9375293416497591;0.5239379580490271;0.07269257295856467;0.5201571854743744;0.5239379580490271
CLF_91;KNN;{'n_jobs': -1, 'n_neighbors': 1};undersampling;-;0.6017090771392242;0.5877013692650539;0.08484964597163551;0.4145262549014229;0.5877013692650539
CLF_92;KNN;{'n_jobs': -1, 'n_neighbors': 1};oversampling;-;0.9375293416497591;0.5239379580490271;0.07269257295856467;0.5201571854743744;0.5239379580490271
CLF_93;KNN;{'n_jobs': -1, 'n_neighbors': 1};smote;5;0.8919211761187478;0.5596916281848048;0.11173744166551398;0.5270190799642503;0.5596916281848048
CLF_94;KNN;{'n_jobs': -1, 'n_neighbors': 1};smote;10;0.8693389173011921;0.569993624646771;0.11377191654109294;0.5214748007754543;0.569993624646771
CLF_95;KNN;{'n_jobs': -1, 'n_neighbors': 1};smote;15;0.8642052312584582;0.5673412479610357;0.10972251857782585;0.5179482750154868;0.5673412479610357
CLF_96;KNN;{'n_jobs': -1, 'n_neighbors': 1};adasyn;5;0.8894286150741314;0.5606007765295103;0.1103221598509222;0.5256134986009354;0.5606007765295105
CLF_97;KNN;{'n_jobs': -1, 'n_neighbors': 1};adasyn;10;0.8683131698018215;0.5562819054839525;0.10221993141908095;0.5154374114916653;0.5562819054839525
CLF_98;KNN;{'n_jobs': -1, 'n_neighbors': 1};adasyn;15;0.8637664243313546;0.5780993406391435;0.11960748695621873;0.5226903067422227;0.5780993406391435
CLF_99;KNN;{'n_jobs': -1, 'n_neighbors': 3};-;-;0.9599658335180073;0.5091665517954373;0.04251420336026093;0.5110299452487992;0.5448977489416184
